vecchio,old,,,,,
amichevole,friendly,,,,,
vecchio,old,,,,,
argento,silver,,,,,
sicuro di sé,self-confident,,,,,
altro,other,,,,,
bello,handsome,,,,,
bellissimo,beautiful,,,,,
strano,strange,,,,,
bianco,white,,,,,
blu,blue,,,,,
buono,good,,,,,
abbronzato,tanned,,,,,
marrone,brown,,,,,
castano,chestnut,,,,,
certo,sure,,,,,
caldo,warm,,,,,
costoso,expensive,,,,,
chiaro,light,,,,,
confuso,confused,,,,,
felice,happy,,,,,
coraggioso,brave,,,,,
ultimo,last,,,,,
scusa,sorry,,,,,
disorientato,disoriented,,,,,
diverso,different,,,,,
difficile,difficult,,,,,
dorato,golden,,,,,
morbido,soft,,,,,
eterosessuale,heterosexual,,,,,
divertente,fun,,,,,
nebbia,foggy,,,,,
sole,sun,,,,,
di vento,of wind,,,,,
spaventato,scared,,,,,
annoiato,bored,,,,,
noioso,boring,,,,,
intero,whole,,,,,
esausto,exhausted,,,,,
strano,strange,,,,,
arrabbiato,angry,,,,,
facile,easy,,,,,
debole,weak,,,,,
stanco,tired,,,,,
sbagliato,wrong,,,,,
forte,strong,,,,,
fresco,fresh,,,,,
francese,French,,,,,
freddo,cold,,,,,
congela,freezing,,,,,
gentile,kind,,,,,
alto,tall,,,,,
grave,serious,,,,,
grigio,gray,,,,,
grande,big,,,,,
alto,tall,,,,,
felice,happy,,,,,
umano,human,,,,,
bagnato,wet,,,,,
impaziente,impatient,,,,,
importante,important,,,,,
impossibile,impossible,,,,,
preoccupato,worried,,,,,
intelligente,intelligent,,,,,
interessante,interesting,,,,,
giallo,yellow,,,,,
giovane,young,,,,,
carino,cute,,,,,
giusto,fair,,,,,
leggero,light,,,,,
libero,free,,,,,
lungo,long,,,,,
pesante,heavy,,,,,
malato,sick,,,,,
cattivo,bad,,,,,
meglio,better,,,,,
uguale,same,,,,,
snello,slender,,,,,
brutto,ugly,,,,,
morto,dead,,,,,
ingenuo,naive,,,,,
addolorato,painful,,,,,
neve,snow,,,,,
nervoso,nervous,,,,,
nero,black,,,,,
nuovo,new,,,,,
nuvoloso,cloudy,,,,,
tempestoso,stormy,,,,,
arancione,orange,,,,,
aperto,open,,,,,
uguale,same,,,,,
pigro,lazy,,,,,
paziente,patient,,,,,
patriottico,patriotic,,,,,
povero,poor,,,,,
piccolo,small,,,,,
pieno,full,,,,,
piove,raining,,,,,
piove versare,raining Pour,,,,,
possibile,possible,,,,,
primo,first,,,,,
affrettati,hurry,,,,,
pronto,ready,,,,,
prossimo,next,,,,,
pulito,clean,,,,,
felice,happy,,,,,
rosa,pink,,,,,
rosso,red,,,,,
sporco,dirty,,,,,
serio,serious,,,,,
solo,alone,,,,,
semplice,simple,,,,,
solitario,lonely,,,,,
atletico,athletic,,,,,
stupido,stupid,,,,,
super,super,,,,,
carino,cute,,,,,
timido,shy,,,,,
tutto,everything,,,,,
tranquillo,quiet,,,,,
lavoratore,worker,,,,,
triste,sad,,,,,
verde,green,,,,,
vuoto,empty,,,,,
vecchio,old,,,,,
vecchio,old,,,,,
viola,purple,,,,,
vivo,alive,,,,,
vero,TRUE,,,,,
